S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
5174,16/04/2020,Madhya Pradesh,987,870,64,53
5175,17/04/2020,Madhya Pradesh,1120,1003,64,53
5176,18/04/2020,Madhya Pradesh,1310,1172,69,69
5177,19/04/2020,Madhya Pradesh,1407,1210,127,70
5178,20/04/2020,Madhya Pradesh,1407,1210,127,70
5179,21/04/2020,Madhya Pradesh,1485,1284,127,74
5180,22/04/2020,Madhya Pradesh,1552,1328,148,76
5181,23/04/2020,Madhya Pradesh,1592,1364,148,80
5182,24/04/2020,Madhya Pradesh,1699,1413,203,83
5183,25/04/2020,Madhya Pradesh,1852,1550,210,92
5184,26/04/2020,Madhya Pradesh,2096,1787,210,99
5185,27/04/2020,Madhya Pradesh,2096,1691,302,103
5186,28/04/2020,Madhya Pradesh,2168,1756,302,110
5187,29/04/2020,Madhya Pradesh,2387,1890,377,120
5188,30/04/2020,Madhya Pradesh,2561,1971,461,129
5189,01/05/2020,Madhya Pradesh,2660,2041,482,137
5190,02/05/2020,Madhya Pradesh,2719,2050,524,145
5191,03/05/2020,Madhya Pradesh,2846,2071,624,151
5192,04/05/2020,Madhya Pradesh,2846,1892,798,156
5193,05/05/2020,Madhya Pradesh,2942,1979,798,165
5194,06/05/2020,Madhya Pradesh,3049,1873,1000,176
5195,07/05/2020,Madhya Pradesh,3138,1854,1099,185
5196,08/05/2020,Madhya Pradesh,3252,1828,1231,193
5197,09/05/2020,Madhya Pradesh,3341,1792,1349,200
5198,10/05/2020,Madhya Pradesh,3614,1723,1676,215
5199,11/05/2020,Madhya Pradesh,3614,1723,1676,215
5200,12/05/2020,Madhya Pradesh,3785,1817,1747,221
5201,13/05/2020,Madhya Pradesh,3986,1901,1860,225
5202,14/05/2020,Madhya Pradesh,4173,1937,2004,232
5203,15/05/2020,Madhya Pradesh,4426,2018,2171,237
5204,16/05/2020,Madhya Pradesh,4595,2073,2283,239
5205,17/05/2020,Madhya Pradesh,4789,2231,2315,243
5206,18/05/2020,Madhya Pradesh,4977,2326,2403,248
5207,19/05/2020,Madhya Pradesh,5236,2549,2435,252
5208,20/05/2020,Madhya Pradesh,5465,2577,2630,258
5209,21/05/2020,Madhya Pradesh,5735,2735,2733,267
5210,22/05/2020,Madhya Pradesh,5981,2868,2843,270
5211,23/05/2020,Madhya Pradesh,6170,2809,3089,272
5212,24/05/2020,Madhya Pradesh,6371,2823,3267,281
5213,25/05/2020,Madhya Pradesh,6665,2967,3408,290
5214,26/05/2020,Madhya Pradesh,6859,2988,3571,300
5215,27/05/2020,Madhya Pradesh,7024,3030,3689,305
5216,28/05/2020,Madhya Pradesh,7261,3021,3927,313
5217,29/05/2020,Madhya Pradesh,7453,3082,4050,321
5218,30/05/2020,Madhya Pradesh,7645,3042,4269,334
5219,31/05/2020,Madhya Pradesh,7891,3104,4444,343
5220,01/06/2020,Madhya Pradesh,8089,2897,4842,350
5221,02/06/2020,Madhya Pradesh,8283,2922,5003,358
5222,03/06/2020,Madhya Pradesh,8420,2835,5221,364
5223,04/06/2020,Madhya Pradesh,8588,2772,5445,371
5224,05/06/2020,Madhya Pradesh,8762,2748,5637,377
5225,06/06/2020,Madhya Pradesh,8996,2734,5878,384
5226,07/06/2020,Madhya Pradesh,9228,2721,6108,399
5227,08/06/2020,Madhya Pradesh,9401,2658,6331,412
5228,09/06/2020,Madhya Pradesh,9638,2688,6536,414
5229,10/06/2020,Madhya Pradesh,9849,2700,6729,420
5230,11/06/2020,Madhya Pradesh,10049,2730,6892,427
5231,12/06/2020,Madhya Pradesh,10241,2768,7042,431
5232,13/06/2020,Madhya Pradesh,10443,2802,7201,440
5233,14/06/2020,Madhya Pradesh,10641,2817,7377,447
5234,15/06/2020,Madhya Pradesh,10802,2666,7677,459
5235,16/06/2020,Madhya Pradesh,10935,2567,7903,465
5236,17/06/2020,Madhya Pradesh,11083,2455,8152,476
5237,18/06/2020,Madhya Pradesh,11244,2374,8388,482
5238,19/06/2020,Madhya Pradesh,11426,2308,8632,486
5239,20/06/2020,Madhya Pradesh,11582,2339,8748,495
5240,21/06/2020,Madhya Pradesh,11724,2343,8880,501
5241,22/06/2020,Madhya Pradesh,11903,2373,9015,515
5242,23/06/2020,Madhya Pradesh,12078,2342,9215,521
5243,24/06/2020,Madhya Pradesh,12261,2401,9335,525
5244,25/06/2020,Madhya Pradesh,12448,2441,9473,534
5245,26/06/2020,Madhya Pradesh,12596,2435,9619,542
5246,27/06/2020,Madhya Pradesh,12798,2448,9804,546
5247,28/06/2020,Madhya Pradesh,12965,2444,9971,550
5248,29/06/2020,Madhya Pradesh,13186,2545,10084,557
5249,30/06/2020,Madhya Pradesh,13370,2607,10199,564
5250,01/07/2020,Madhya Pradesh,13593,2626,10395,572
5251,02/07/2020,Madhya Pradesh,13861,2625,10655,581
5252,03/07/2020,Madhya Pradesh,14106,2702,10815,589
5253,04/07/2020,Madhya Pradesh,14297,2655,11049,593
5254,05/07/2020,Madhya Pradesh,14604,2772,11234,598
5255,06/07/2020,Madhya Pradesh,14930,2911,11411,608
5256,07/07/2020,Madhya Pradesh,15284,3088,11579,617
5257,08/07/2020,Madhya Pradesh,15627,3237,11768,622
5258,09/07/2020,Madhya Pradesh,16036,3420,11987,629
5259,10/07/2020,Madhya Pradesh,16341,3475,12232,634
5260,11/07/2020,Madhya Pradesh,16657,3538,12481,638
5261,12/07/2020,Madhya Pradesh,17201,3878,12679,644
5262,13/07/2020,Madhya Pradesh,17632,4103,12876,653
5263,14/07/2020,Madhya Pradesh,18207,4336,13208,663
5264,15/07/2020,Madhya Pradesh,19005,4757,13575,673
5265,16/07/2020,Madhya Pradesh,19643,5053,13908,682
5266,17/07/2020,Madhya Pradesh,20378,5562,14127,689
5267,18/07/2020,Madhya Pradesh,21081,5870,14514,697
5268,19/07/2020,Madhya Pradesh,21763,6193,14864,706
5269,20/07/2020,Madhya Pradesh,22600,6568,15311,721
5270,21/07/2020,Madhya Pradesh,23310,6888,15684,738
5271,22/07/2020,Madhya Pradesh,24095,7082,16257,756
5272,23/07/2020,Madhya Pradesh,24842,7236,16836,770
5273,24/07/2020,Madhya Pradesh,25474,7335,17359,780
5274,25/07/2020,Madhya Pradesh,26210,7553,17866,791
5275,26/07/2020,Madhya Pradesh,26926,7639,18488,799
5276,27/07/2020,Madhya Pradesh,27800,7857,19132,811
5277,28/07/2020,Madhya Pradesh,28589,7978,19791,820
5278,29/07/2020,Madhya Pradesh,29217,8044,20343,830
5279,30/07/2020,Madhya Pradesh,30134,8357,20934,843
5280,31/07/2020,Madhya Pradesh,30968,8454,21657,857
5281,01/08/2020,Madhya Pradesh,31806,8668,22271,867
5282,02/08/2020,Madhya Pradesh,32614,8769,22969,876
5283,03/08/2020,Madhya Pradesh,33535,9099,23550,886
5284,04/08/2020,Madhya Pradesh,34285,9286,24099,900
5285,05/08/2020,Madhya Pradesh,35082,8756,25414,912
5286,06/08/2020,Madhya Pradesh,35734,8741,26064,929
5287,07/08/2020,Madhya Pradesh,36564,8716,26902,946
5288,08/08/2020,Madhya Pradesh,37298,8715,27621,962
5289,09/08/2020,Madhya Pradesh,38157,8827,28353,977
5290,10/08/2020,Madhya Pradesh,39025,9009,29020,996
5291,11/08/2020,Madhya Pradesh,39891,9202,29674,1015
5292,12/08/2020,Madhya Pradesh,40734,9105,30596,1033
5293,13/08/2020,Madhya Pradesh,41604,9317,31239,1048
5294,14/08/2020,Madhya Pradesh,42618,9718,31835,1065
5295,15/08/2020,Madhya Pradesh,43414,9928,32405,1081
5296,16/08/2020,Madhya Pradesh,44433,9986,33353,1094
5297,17/08/2020,Madhya Pradesh,45455,10312,34038,1105
5298,18/08/2020,Madhya Pradesh,46385,10232,35025,1128
5299,19/08/2020,Madhya Pradesh,47375,10521,35713,1141
5300,20/08/2020,Madhya Pradesh,48351,10717,36475,1159
5301,21/08/2020,Madhya Pradesh,49493,10782,37540,1171
5302,22/08/2020,Madhya Pradesh,50640,10928,38527,1185
5303,23/08/2020,Madhya Pradesh,51866,11261,39399,1206
5304,24/08/2020,Madhya Pradesh,53129,11510,40390,1229
5305,25/08/2020,Madhya Pradesh,54421,11944,41231,1246
5306,26/08/2020,Madhya Pradesh,55800,12225,42310,1265
5307,27/08/2020,Madhya Pradesh,56864,12336,43246,1282
5308,28/08/2020,Madhya Pradesh,58181,12422,44453,1306
5309,29/08/2020,Madhya Pradesh,59433,12714,45396,1323
5310,30/08/2020,Madhya Pradesh,60875,13117,46413,1345
5311,31/08/2020,Madhya Pradesh,62433,13592,47467,1374
5312,01/09/2020,Madhya Pradesh,63965,13914,48657,1394
5313,02/09/2020,Madhya Pradesh,65490,14072,49992,1426
5314,03/09/2020,Madhya Pradesh,66914,14337,51124,1453
5315,04/09/2020,Madhya Pradesh,68586,14888,52215,1483
5316,05/09/2020,Madhya Pradesh,70244,15474,53257,1513
5317,06/09/2020,Madhya Pradesh,71880,15688,54649,1543
5318,07/09/2020,Madhya Pradesh,73574,16115,55887,1572
5319,08/09/2020,Madhya Pradesh,75459,16961,56909,1589
5320,09/09/2020,Madhya Pradesh,77323,17205,58509,1609
5321,10/09/2020,Madhya Pradesh,79192,17702,59850,1640
5322,11/09/2020,Madhya Pradesh,81379,18433,61285,1661
5323,12/09/2020,Madhya Pradesh,83619,18992,62936,1691
5324,13/09/2020,Madhya Pradesh,85966,19840,64398,1728
5325,14/09/2020,Madhya Pradesh,88247,20487,65998,1762
5326,15/09/2020,Madhya Pradesh,90730,21228,67711,1791
5327,16/09/2020,Madhya Pradesh,93053,21620,69613,1820
5328,17/09/2020,Madhya Pradesh,95515,22136,71535,1844
5329,18/09/2020,Madhya Pradesh,97906,21631,74398,1877
5330,19/09/2020,Madhya Pradesh,100458,21605,76952,1901
5331,20/09/2020,Madhya Pradesh,103065,21964,79158,1943
5332,21/09/2020,Madhya Pradesh,105644,22300,81374,1970
5333,22/09/2020,Madhya Pradesh,108167,22542,83618,2007
5334,23/09/2020,Madhya Pradesh,110711,22646,86030,2035
5335,24/09/2020,Madhya Pradesh,113057,22812,88168,2077
5336,25/09/2020,Madhya Pradesh,115361,22744,90495,2122
5337,26/09/2020,Madhya Pradesh,117588,22198,93238,2152
5338,27/09/2020,Madhya Pradesh,119899,22228,95490,2181
5339,28/09/2020,Madhya Pradesh,122209,22431,97571,2207
5340,29/09/2020,Madhya Pradesh,124166,21912,100012,2242
5341,30/09/2020,Madhya Pradesh,126043,21317,102445,2281
5342,01/10/2020,Madhya Pradesh,128047,20997,104734,2316
5343,02/10/2020,Madhya Pradesh,130088,20473,107279,2336
5344,03/10/2020,Madhya Pradesh,132107,20124,109611,2372
5345,04/10/2020,Madhya Pradesh,133918,19807,111712,2399
5346,05/10/2020,Madhya Pradesh,135638,19372,113832,2434
5347,06/10/2020,Madhya Pradesh,137098,18757,115878,2463
5348,07/10/2020,Madhya Pradesh,138668,18141,118039,2488
5349,08/10/2020,Madhya Pradesh,140307,17522,120267,2518
5350,09/10/2020,Madhya Pradesh,142022,16788,122687,2547
5351,10/10/2020,Madhya Pradesh,143629,16168,124887,2574
5352,11/10/2020,Madhya Pradesh,145245,15612,127034,2599
5353,12/10/2020,Madhya Pradesh,146820,15177,129019,2624
5354,13/10/2020,Madhya Pradesh,148298,14932,130721,2645
5355,14/10/2020,Madhya Pradesh,149761,14661,132429,2671
5356,15/10/2020,Madhya Pradesh,155276,14432,138158,2686
5357,16/10/2020,Madhya Pradesh,156584,14157,139717,2710
5358,17/10/2020,Madhya Pradesh,157936,13928,141273,2735
5359,18/10/2020,Madhya Pradesh,159158,13698,142707,2753
5360,19/10/2020,Madhya Pradesh,160188,13281,144134,2773
5361,20/10/2020,Madhya Pradesh,161203,12996,145421,2786
5362,21/10/2020,Madhya Pradesh,162178,12507,146860,2811
5363,22/10/2020,Madhya Pradesh,163296,12386,148082,2828
5364,23/10/2020,Madhya Pradesh,164341,12146,149353,2842
5365,24/10/2020,Madhya Pradesh,165294,11761,150678,2855
5366,25/10/2020,Madhya Pradesh,166298,11477,151946,2875
5367,26/10/2020,Madhya Pradesh,167249,11237,153127,2885
5368,27/10/2020,Madhya Pradesh,167969,10857,154222,2890
5369,28/10/2020,Madhya Pradesh,168483,10353,155232,2898
5370,29/10/2020,Madhya Pradesh,169271,10094,156264,2913
5371,30/10/2020,Madhya Pradesh,169999,9689,157381,2929
5372,31/10/2020,Madhya Pradesh,170690,9294,158455,2941
5373,01/11/2020,Madhya Pradesh,171359,8929,159479,2951
5374,02/11/2020,Madhya Pradesh,172082,8538,160586,2958
5375,03/11/2020,Madhya Pradesh,172717,8298,161454,2965
5376,04/11/2020,Madhya Pradesh,173384,8044,162366,2974
5377,05/11/2020,Madhya Pradesh,174091,7854,163250,2987
5378,06/11/2020,Madhya Pradesh,174825,7766,164067,2992
5379,07/11/2020,Madhya Pradesh,175603,7676,164923,3004
5380,08/11/2020,Madhya Pradesh,176468,7736,165715,3017
5381,09/11/2020,Madhya Pradesh,177359,7928,166403,3028
5382,10/11/2020,Madhya Pradesh,178168,8050,167084,3034
5383,11/11/2020,Madhya Pradesh,179068,8149,167877,3042
5384,12/11/2020,Madhya Pradesh,179951,8328,168568,3055
5385,13/11/2020,Madhya Pradesh,180997,8672,169260,3065
5386,14/11/2020,Madhya Pradesh,182045,8876,170093,3076
5387,15/11/2020,Madhya Pradesh,183057,9005,170969,3083
5388,16/11/2020,Madhya Pradesh,183927,9146,171691,3090
5389,17/11/2020,Madhya Pradesh,184524,8996,172436,3092
5390,18/11/2020,Madhya Pradesh,185446,9060,173284,3102
5391,19/11/2020,Madhya Pradesh,186655,9338,174202,3115
5392,20/11/2020,Madhya Pradesh,188018,9800,175089,3129
5393,21/11/2020,Madhya Pradesh,189546,10402,176006,3138
5394,22/11/2020,Madhya Pradesh,191246,11192,176905,3149
5395,23/11/2020,Madhya Pradesh,193044,11765,178117,3162
5396,24/11/2020,Madhya Pradesh,194745,12336,179237,3172
5397,25/11/2020,Madhya Pradesh,196511,12979,180349,3183
5398,26/11/2020,Madhya Pradesh,198284,13742,181345,3197
5399,27/11/2020,Madhya Pradesh,199952,14199,182544,3209
5400,28/11/2020,Madhya Pradesh,201597,14677,183696,3224
5401,29/11/2020,Madhya Pradesh,203231,14981,185013,3237
5402,30/11/2020,Madhya Pradesh,204745,14974,186521,3250
5403,01/12/2020,Madhya Pradesh,206128,14771,188097,3260
5404,02/12/2020,Madhya Pradesh,207485,14435,189780,3270
5405,03/12/2020,Madhya Pradesh,208924,14019,191618,3287
5406,04/12/2020,Madhya Pradesh,210374,13887,193187,3300
5407,05/12/2020,Madhya Pradesh,211698,13641,194743,3314
5408,06/12/2020,Madhya Pradesh,213050,13532,196192,3326
5409,07/12/2020,Madhya Pradesh,214505,13391,197777,3337
5410,08/12/2020,Madhya Pradesh,215957,13443,199167,3347
5411,09/12/2020,Madhya Pradesh,217302,13280,200664,3358
5412,10/12/2020,Madhya Pradesh,218574,13221,201987,3366
5413,12/03/2020,Maharashtra,11,11,0,0
5414,13/03/2020,Maharashtra,11,11,0,0
5415,14/03/2020,Maharashtra,14,14,0,0
5416,15/03/2020,Maharashtra,31,31,0,0
5417,16/03/2020,Maharashtra,32,32,0,0
5418,17/03/2020,Maharashtra,39,38,0,1
5419,18/03/2020,Maharashtra,41,40,0,1
5420,19/03/2020,Maharashtra,45,44,0,1
5421,20/03/2020,Maharashtra,47,46,0,1
5422,21/03/2020,Maharashtra,52,51,0,1
5423,22/03/2020,Maharashtra,67,65,0,2
5424,23/03/2020,Maharashtra,74,72,0,2
5425,24/03/2020,Maharashtra,87,85,0,2
5426,25/03/2020,Maharashtra,89,87,0,2
5427,26/03/2020,Maharashtra,124,120,1,3
5428,27/03/2020,Maharashtra,130,111,15,4
5429,28/03/2020,Maharashtra,180,150,25,5
5430,29/03/2020,Maharashtra,186,155,25,6
5431,30/03/2020,Maharashtra,193,160,25,8
5432,31/03/2020,Maharashtra,216,168,39,9
5433,01/04/2020,Maharashtra,302,254,39,9
5434,02/04/2020,Maharashtra,335,280,42,13
5435,03/04/2020,Maharashtra,335,277,42,16
5436,04/04/2020,Maharashtra,423,362,42,19
5437,05/04/2020,Maharashtra,490,424,42,24
5438,06/04/2020,Maharashtra,690,603,42,45
5439,07/04/2020,Maharashtra,748,647,56,45
5440,08/04/2020,Maharashtra,1018,875,79,64
5441,09/04/2020,Maharashtra,1135,946,117,72
5442,10/04/2020,Maharashtra,1364,1142,125,97
5443,11/04/2020,Maharashtra,1574,1276,188,110
5444,12/04/2020,Maharashtra,1761,1426,208,127
5445,13/04/2020,Maharashtra,1985,1619,217,149
5446,14/04/2020,Maharashtra,2334,1957,217,160
5447,15/04/2020,Maharashtra,2687,2250,259,178
5448,16/04/2020,Maharashtra,2916,2434,295,187
5449,17/04/2020,Maharashtra,3205,2711,300,194
5450,18/04/2020,Maharashtra,3323,2791,331,201
5451,19/04/2020,Maharashtra,3651,3075,365,211
5452,20/04/2020,Maharashtra,4203,3473,507,223
5453,21/04/2020,Maharashtra,4666,3862,572,232
5454,22/04/2020,Maharashtra,5218,4245,722,251
5455,23/04/2020,Maharashtra,5652,4594,789,269
5456,24/04/2020,Maharashtra,6430,5307,840,283
5457,25/04/2020,Maharashtra,6817,5676,840,301
5458,26/04/2020,Maharashtra,7628,6229,1076,323
5459,27/04/2020,Maharashtra,8068,6650,1076,342
5460,28/04/2020,Maharashtra,8590,6939,1282,369
5461,29/04/2020,Maharashtra,9318,7530,1388,400
5462,30/04/2020,Maharashtra,9915,7890,1593,432
5463,01/05/2020,Maharashtra,10498,8266,1773,459
5464,02/05/2020,Maharashtra,11506,9142,1879,485
5465,03/05/2020,Maharashtra,12296,9775,2000,521
5466,04/05/2020,Maharashtra,12974,10311,2115,548
5467,05/05/2020,Maharashtra,14541,11493,2465,583
5468,06/05/2020,Maharashtra,15525,12089,2819,617
5469,07/05/2020,Maharashtra,16758,13013,3094,651
5470,08/05/2020,Maharashtra,17974,13979,3301,694
5471,09/05/2020,Maharashtra,19063,14862,3470,731
5472,10/05/2020,Maharashtra,20228,15649,3800,779
5473,11/05/2020,Maharashtra,22171,17140,4199,832
5474,12/05/2020,Maharashtra,23401,17747,4786,868
5475,13/05/2020,Maharashtra,24427,18381,5125,921
5476,14/05/2020,Maharashtra,25922,19400,5547,975
5477,15/05/2020,Maharashtra,27524,20446,6059,1019
5478,16/05/2020,Maharashtra,29100,21468,6564,1068
5479,17/05/2020,Maharashtra,30706,22483,7088,1135
5480,18/05/2020,Maharashtra,33053,24167,7688,1198
5481,19/05/2020,Maharashtra,35058,25372,8437,1249
5482,20/05/2020,Maharashtra,37136,26172,9639,1325
5483,21/05/2020,Maharashtra,39297,27589,10318,1390
5484,22/05/2020,Maharashtra,41642,28462,11726,1454
5485,23/05/2020,Maharashtra,44582,30482,12583,1517
5486,24/05/2020,Maharashtra,47190,32209,13404,1577
5487,25/05/2020,Maharashtra,50231,33996,14600,1635
5488,26/05/2020,Maharashtra,52667,35186,15786,1695
5489,27/05/2020,Maharashtra,54758,36012,16954,1792
5490,28/05/2020,Maharashtra,56948,37133,17918,1897
5491,29/05/2020,Maharashtra,59546,38948,18616,1982
5492,30/05/2020,Maharashtra,62228,33133,26997,2098
5493,31/05/2020,Maharashtra,65168,34890,28081,2197
5494,01/06/2020,Maharashtra,67655,36040,29329,2286
5495,02/06/2020,Maharashtra,70013,37543,30108,2362
5496,03/06/2020,Maharashtra,72300,38502,31333,2465
5497,04/06/2020,Maharashtra,74860,39944,32329,2587
5498,05/06/2020,Maharashtra,77793,41402,33681,2710
5499,06/06/2020,Maharashtra,80229,42224,35156,2849
5500,07/06/2020,Maharashtra,82968,42609,37390,2969
5501,08/06/2020,Maharashtra,85975,43601,39314,3060
5502,09/06/2020,Maharashtra,88528,44384,40975,3169
5503,10/06/2020,Maharashtra,90787,44860,42638,3289
5504,11/06/2020,Maharashtra,94041,46086,44517,3438
5505,12/06/2020,Maharashtra,97648,47980,46078,3590
5506,13/06/2020,Maharashtra,101141,49628,47796,3717
5507,14/06/2020,Maharashtra,104568,51392,49346,3830
5508,15/06/2020,Maharashtra,107958,53030,50978,3950
5509,16/06/2020,Maharashtra,110744,50567,56049,4128
5510,17/06/2020,Maharashtra,113445,50057,57851,5537
5511,18/06/2020,Maharashtra,116752,51935,59166,5651
5512,19/06/2020,Maharashtra,120504,53915,60838,5751
5513,20/06/2020,Maharashtra,124331,55665,62773,5893
5514,21/06/2020,Maharashtra,128205,58068,64153,5984
5515,22/06/2020,Maharashtra,132075,60161,65744,6170
5516,23/06/2020,Maharashtra,135796,61807,67706,6283
5517,24/06/2020,Maharashtra,139010,62848,69631,6531
5518,25/06/2020,Maharashtra,142900,62369,73792,6739
5519,26/06/2020,Maharashtra,147741,63357,77453,6931
5520,27/06/2020,Maharashtra,152765,65844,79815,7106
5521,28/06/2020,Maharashtra,159133,67615,84245,7273
5522,29/06/2020,Maharashtra,164626,70622,86575,7429
5523,30/06/2020,Maharashtra,169883,73313,88960,7610
5524,01/07/2020,Maharashtra,174761,75995,90911,7855
5525,02/07/2020,Maharashtra,180298,79091,93154,8053
5526,03/07/2020,Maharashtra,186626,77276,101172,8178
5527,04/07/2020,Maharashtra,192990,79927,104687,8376
5528,05/07/2020,Maharashtra,200064,83311,108082,8671
5529,06/07/2020,Maharashtra,206619,86057,111740,8822
5530,07/07/2020,Maharashtra,211987,87699,115262,9026
5531,08/07/2020,Maharashtra,217121,89313,118558,9250
5532,09/07/2020,Maharashtra,223724,91084,123192,9448
5533,10/07/2020,Maharashtra,230599,93673,127259,9667
5534,11/07/2020,Maharashtra,238461,95943,132625,9893
5535,12/07/2020,Maharashtra,246600,99499,136985,10116
5536,13/07/2020,Maharashtra,254427,103813,140325,10289
5537,14/07/2020,Maharashtra,260924,105935,144507,10482
5538,15/07/2020,Maharashtra,267665,107963,149007,10695
5539,16/07/2020,Maharashtra,275640,112099,152613,10928
5540,17/07/2020,Maharashtra,284281,114947,158140,11194
5541,18/07/2020,Maharashtra,292589,120780,160357,11452
5542,19/07/2020,Maharashtra,300937,123678,165663,11596
5543,20/07/2020,Maharashtra,310455,129032,169569,11854
5544,21/07/2020,Maharashtra,318695,131636,175029,12030
5545,22/07/2020,Maharashtra,327031,132538,182217,12276
5546,23/07/2020,Maharashtra,337607,137282,187769,12556
5547,24/07/2020,Maharashtra,347502,140395,194253,12854
5548,25/07/2020,Maharashtra,357117,144018,199967,13132
5549,26/07/2020,Maharashtra,366368,145785,207194,13389
5550,27/07/2020,Maharashtra,375799,148905,213238,13656
5551,28/07/2020,Maharashtra,383723,147896,221944,13883
5552,29/07/2020,Maharashtra,391440,144998,232277,14165
5553,30/07/2020,Maharashtra,400651,146433,239755,14463
5554,31/07/2020,Maharashtra,411798,148454,248615,14729
5555,01/08/2020,Maharashtra,422118,150966,256158,14994
5556,02/08/2020,Maharashtra,431719,149520,266883,15316
5557,03/08/2020,Maharashtra,441228,148843,276809,15576
5558,04/08/2020,Maharashtra,450196,147324,287030,15842
5559,05/08/2020,Maharashtra,457956,142458,299356,16142
5560,06/08/2020,Maharashtra,468265,146268,305521,16476
5561,07/08/2020,Maharashtra,479779,146612,316375,16792
5562,08/08/2020,Maharashtra,490262,145889,327281,17092
5563,09/08/2020,Maharashtra,503084,147355,338362,17367
5564,10/08/2020,Maharashtra,515332,145865,351710,17757
5565,11/08/2020,Maharashtra,524513,148042,358421,18050
5566,12/08/2020,Maharashtra,535601,148860,368435,18306
5567,13/08/2020,Maharashtra,548313,147820,381843,18650
5568,14/08/2020,Maharashtra,560126,150105,390958,19063
5569,15/08/2020,Maharashtra,572734,151865,401442,19427
5570,16/08/2020,Maharashtra,584754,156719,408286,19749
5571,17/08/2020,Maharashtra,595865,158705,417123,20037
5572,18/08/2020,Maharashtra,604358,155579,428514,20265
5573,19/08/2020,Maharashtra,615477,156920,437870,20687
5574,20/08/2020,Maharashtra,628642,160728,446881,21033
5575,21/08/2020,Maharashtra,643289,162806,459124,21359
5576,22/08/2020,Maharashtra,657450,164879,470873,21698
5577,23/08/2020,Maharashtra,671942,169833,480114,21995
5578,24/08/2020,Maharashtra,682383,171859,488271,22253
5579,25/08/2020,Maharashtra,693398,168443,502490,22465
5580,26/08/2020,Maharashtra,703823,166239,514790,22794
5581,27/08/2020,Maharashtra,718711,173195,522427,23089
5582,28/08/2020,Maharashtra,733568,178561,531563,23444
5583,29/08/2020,Maharashtra,747995,181050,543170,23775
5584,30/08/2020,Maharashtra,764281,185467,554711,24103
5585,31/08/2020,Maharashtra,780689,193889,562401,24399
5586,01/09/2020,Maharashtra,792541,194399,573559,24583
5587,02/09/2020,Maharashtra,808306,198866,584537,24903
5588,03/09/2020,Maharashtra,825739,202048,598496,25195
5589,04/09/2020,Maharashtra,843844,205774,612484,25586
5590,05/09/2020,Maharashtra,863062,211325,625773,25964
5591,06/09/2020,Maharashtra,883862,221012,636574,26276
5592,07/09/2020,Maharashtra,907212,236208,644400,26604
5593,08/09/2020,Maharashtra,923641,237292,659322,27027
5594,09/09/2020,Maharashtra,943772,243809,672556,27407
5595,10/09/2020,Maharashtra,967349,253100,686462,27787
5596,11/09/2020,Maharashtra,990795,261798,700715,28282
5597,12/09/2020,Maharashtra,1015681,271934,715023,28724
5598,13/09/2020,Maharashtra,1037765,280138,728512,29115
5599,14/09/2020,Maharashtra,1060308,290716,740061,29531
5600,15/09/2020,Maharashtra,1077374,291630,755850,29894
5601,16/09/2020,Maharashtra,1097856,292174,775273,30409
5602,17/09/2020,Maharashtra,1121221,297506,792832,30883
5603,18/09/2020,Maharashtra,1145840,302135,812354,31351
5604,19/09/2020,Maharashtra,1167496,301273,834432,31791
5605,20/09/2020,Maharashtra,1188015,297866,857933,32216
5606,21/09/2020,Maharashtra,1208642,291630,884341,32671
5607,22/09/2020,Maharashtra,1224380,275017,916348,33015
5608,23/09/2020,Maharashtra,1242770,272809,936554,33407
5609,24/09/2020,Maharashtra,1263799,273883,956030,33886
5610,25/09/2020,Maharashtra,1282963,275404,973214,34345
5611,26/09/2020,Maharashtra,1300757,273190,992806,34761
5612,27/09/2020,Maharashtra,1321176,269535,1016450,35191
5613,28/09/2020,Maharashtra,1339232,273646,1030015,35571
5614,29/09/2020,Maharashtra,1351153,265455,1049947,35751
5615,30/09/2020,Maharashtra,1366129,260789,1069159,36181
5616,01/10/2020,Maharashtra,1384446,259462,1088322,36662
5617,02/10/2020,Maharashtra,1400922,259440,1104426,37056
5618,03/10/2020,Maharashtra,1416513,261313,1117720,37480
5619,04/10/2020,Maharashtra,1430861,258548,1134555,37758
5620,05/10/2020,Maharashtra,1443409,255722,1149603,38084
5621,06/10/2020,Maharashtra,1453653,252721,1162585,38347
5622,07/10/2020,Maharashtra,1465911,247468,1179726,38717
5623,08/10/2020,Maharashtra,1480489,244976,1196441,39072
5624,09/10/2020,Maharashtra,1493884,242438,1212016,39430
5625,10/10/2020,Maharashtra,1506018,236947,1229339,39732
5626,11/10/2020,Maharashtra,1517434,221615,1255779,40040
5627,12/10/2020,Maharashtra,1528226,221637,1266240,40349
5628,13/10/2020,Maharashtra,1535315,212905,1281896,40514
5629,14/10/2020,Maharashtra,1543837,205884,1297252,40701
5630,15/10/2020,Maharashtra,1554389,196761,1316769,40859
5631,16/10/2020,Maharashtra,1564615,192936,1330483,41196
5632,17/10/2020,Maharashtra,1576062,190192,1344368,41502
5633,18/10/2020,Maharashtra,1586321,185750,1358606,41965
5634,19/10/2020,Maharashtra,1595381,183456,1369810,42115
5635,20/10/2020,Maharashtra,1601365,174246,1384879,42240
5636,21/10/2020,Maharashtra,1609516,174755,1392308,42453
5637,22/10/2020,Maharashtra,1617658,159346,1415679,42633
